Total de entidades encontradas:  76

Sentença | Entidade | id da Entidade na Sentença: 

2719 |  Econômico |  9
1101 |  Ceará |  20
2724 |  Ceará |  0
3651 |  Ceará |  11
3655 |  Ceará |  16
4080 |  Ceará |  13
1454 |  Organizações Globo |  15
3925 |  Conselho Federal de Medicina |  2
910 |  Associação dos Engenheiros da Petrobrás |  2
2213 |  Tribunal Regional Eleitoral |  14
3934 |  Tribunal Regional Eleitoral |  2
136 |  Partido dos Trabalhadores |  7
5939 |  Partido dos Trabalhadores |  26
813 |  Centro Brasileiro de Análise e Planejamento |  14
5012 |  Conselho de Ministros |  7
8343 |  Conselho de Ministros |  24
8407 |  Conselho de Ministros |  20
8886 |  Conselho de Ministros |  45
8908 |  Conselho de Ministros |  13
9362 |  Nossa Senhora do Carmo |  2
103 |  Sindicato dos Metalúrgicos |  1
707 |  Instituto Brasileiro de Geografia e Estatística |  7
3728 |  Instituto Brasileiro de Geografia e Estatística |  4
181 |  Câmara dos Deputados |  10
1693 |  Câmara dos Deputados |  20
1919 |  Câmara dos Deputados |  11
2418 |  Câmara dos Deputados |  14
842 |  Bolsa de Valores de São Paulo |  3
2860 |  Confederação Nacional da Indústria |  37
3129 |  Nossa Caixa |  15
906 |  Superior Tribunal de Justiça |  12
4607 |  Câmara Municipal |  1
4614 |  Câmara Municipal |  4
5036 |  Câmara Municipal |  11
5618 |  Câmara Municipal |  5
5639 |  Câmara Municipal |  25
5844 |  Câmara Municipal |  52
6902 |  Câmara Municipal |  11
7272 |  Câmara Municipal |  1
8687 |  Câmara Municipal |  13
8720 |  Câmara Municipal |  3
8872 |  Câmara Municipal |  40
9076 |  Câmara Municipal |  4
397 |  Sebrae |  3
398 |  Sebrae |  12
713 |  Sebrae |  11
714 |  Sebrae |  17
3399 |  Sebrae |  11
3723 |  Junta |  5
4614 |  Junta |  42
4892 |  Junta |  11
5518 |  Junta |  57
5621 |  Junta |  0
6548 |  Junta |  34
6800 |  Junta |  3
6880 |  Junta |  10
7069 |  Junta |  7
7688 |  Junta |  22
7689 |  Junta |  5
8891 |  Junta |  2
3724 |  Sindicato |  1
6436 |  Sindicato |  2
8323 |  Sindicato |  44
9200 |  Sindicato |  1
8687 |  Sindicato dos Têxteis |  5
1488 |  Banespa |  3
1923 |  Banespa |  9
1924 |  Banespa |  5
2384 |  Banespa |  1
3132 |  Banespa |  1
3161 |  Banespa |  14
1585 |  Banco Mundial |  1
1586 |  Banco Mundial |  3
2308 |  Clube Militar |  6
405 |  Fundação |  31
707 |  Fundação |  6
1150 |  Fundação |  19
1588 |  Fundação |  21
2032 |  Fundação |  10
4707 |  Fundação |  11
5087 |  Fundação |  4
5422 |  Fundação |  9
7174 |  Fundação |  33
7284 |  Fundação |  22
8002 |  Fundação |  16
1098 |  Tribunal de Justiça |  3
2502 |  Associação Comercial |  23
6574 |  Associação Comercial |  6
5844 |  Habitação |  30
7461 |  Habitação |  10
7462 |  Habitação |  7
7462 |  Habitação |  47
8686 |  Habitação |  20
1454 |  Companhia de Mineração |  22
131 |  Banco Nacional de Habitação |  30
2366 |  Paranapanema |  23
2171 |  Faculdade de Direito |  22
4881 |  Assembleia |  19
5365 |  Assembleia |  7
5366 |  Assembleia |  17
5367 |  Assembleia |  14
6148 |  Assembleia |  26
6156 |  Assembleia |  9
6219 |  Assembleia |  23
