Total de entidades encontradas:  143

Sentença | Entidade | id da Entidade na Sentença: 

2652 |  Benito Gama |  13
4767 |  Carlos Fuentes |  70
1642 |  Juscelino Kubitschek |  12
647 |  Fidel Castro |  3
2621 |  Fidel Castro |  28
4828 |  Fidel Castro |  16
8255 |  Fidel Castro |  4
5406 |  Carlos Azevedo |  4
4226 |  José Reis |  28
4567 |  Manuel Machado |  4
4573 |  Manuel Machado |  0
6042 |  Manuel Machado |  43
7494 |  Pedro Ferreira |  1
5089 |  João Guimarães Rosa |  33
210 |  Antônio Carlos Biscaia |  17
1545 |  Caetano Veloso |  19
3296 |  Caetano Veloso |  9
2214 |  Rui Ramos |  8
477 |  Hélio Costa |  20
3701 |  Hillary Clinton |  11
9283 |  Hillary Clinton |  11
1636 |  Castor de Andrade |  13
518 |  Sônia Pompeu |  13
9350 |  Camboja |  2
6001 |  João Pedro |  0
503 |  Rodrigues Alves |  10
568 |  Francisco Rossi |  10
4169 |  Francisco Rossi |  22
4665 |  Negros |  33
1907 |  Arthur Sendas |  14
1 |  Fernando Henrique Cardoso |  30
116 |  Fernando Henrique Cardoso |  22
123 |  Fernando Henrique Cardoso |  24
166 |  Fernando Henrique Cardoso |  13
178 |  Fernando Henrique Cardoso |  13
568 |  Fernando Henrique Cardoso |  24
908 |  Fernando Henrique Cardoso |  47
1901 |  Fernando Henrique Cardoso |  9
2106 |  Fernando Henrique Cardoso |  18
2171 |  Fernando Henrique Cardoso |  5
2686 |  Fernando Henrique Cardoso |  14
2798 |  Fernando Henrique Cardoso |  26
2802 |  Fernando Henrique Cardoso |  6
2913 |  Fernando Henrique Cardoso |  11
2950 |  Fernando Henrique Cardoso |  11
3009 |  Fernando Henrique Cardoso |  19
3328 |  Fernando Henrique Cardoso |  11
4208 |  Fernando Henrique Cardoso |  9
3992 |  Paulo Renato de Souza |  38
4802 |  José Lopes |  15
4807 |  José Lopes |  0
5053 |  Marques de Oliveira |  71
1849 |  Ibsen Pinheiro |  2
6120 |  Marcelo Caetano |  28
2271 |  Leitão de Abreu |  2
4341 |  José Magalhães |  21
5081 |  José Magalhães |  12
5788 |  José Magalhães |  8
8441 |  José Magalhães |  2
8444 |  José Magalhães |  9
2731 |  Teixeira Mendes |  9
5973 |  João Soares |  16
6609 |  Pedro Alves |  11
7531 |  Pedro Alves |  24
7534 |  Pedro Alves |  2
9064 |  Jaime Gama |  0
7997 |  João Macedo |  3
4190 |  Carlos Gomes |  22
8394 |  Shimon Peres |  7
816 |  Bastos |  3
5085 |  Bastos |  34
1101 |  Mauro Benevides |  22
353 |  Tasso Jereissati |  3
1908 |  Tasso Jereissati |  28
2725 |  Tasso Jereissati |  2
4080 |  Tasso Jereissati |  15
136 |  Marília Gabriela |  22
2860 |  Teotônio Vilela Filho |  18
5920 |  Jimmy Carter |  3
6543 |  Jimmy Carter |  18
383 |  Luiz Inácio Lula da Silva |  11
563 |  Luiz Inácio Lula da Silva |  16
2025 |  Luiz Inácio Lula da Silva |  15
426 |  Euclides da Cunha |  34
5706 |  José Eduardo dos Santos |  38
8494 |  José Eduardo dos Santos |  0
4212 |  Mauro Salles |  2
